Substrate archetype,Scale & form factor,Material constitution,Morphology,Mechanical response,Surface chemistry,Binding mode,Environment
Composites,Macro,Mineral/rock/soil,Polished,Soft/gel-like,Bioactive,Magnetic,High-T
Biological tissues,Mega,Gel/colloid,Micro-porous,Brittle,Redox-active,Physisorption,Sterile/aseptic
Biofilms/ECM/scaffolds,Mega,Polymer (elastomer),Fissured/cracked,Rigid,π-π interactive,Hydrogen bonding,Multiphase
Aerosols/droplets,Meso,Polymer (thermoplastic),Patterned,Plastic/ductile,Catalytic,Chemisorption/covalent,High-T
Infrastructure,Atomic/nano,Polymer (elastomer),Fibrous/felted,Viscoelastic,H-bonding,Crystallization/scale,High-T
Membranes/filters,Patterned/etched,Biological,Granular,Granular-flowing,Charged (cationic),Chemisorption/covalent,Radiation/UV
Polymers,3D bulk,Liquid interface,Atomically smooth,Viscoelastic,Hydrophilic,Mechanical interlock,Food-grade
Composites,Particulate bed,Composite/hybrid,Meso-porous,Plastic/ductile,Zwitterionic,Sintering/fusion,Humid air
Fibrous sheets/textiles,Layered stack,Mineral/rock/soil,Meso-porous,Swelling/shrinking,Redox-active,Hydrophobic association,In vitro
Digital analogs,Lattice/foam,Biological,Matte/rough,Thixotropic,Redox-active,Mechanical interlock,Multiphase
Polymers,2D film/coating,Digital substrate,Matte/rough,Granular-flowing,π-π interactive,Physisorption,In vivo
Devices & components,Fiber/yarn,Digital substrate,Channelled,Soft/gel-like,Hydrophilic,Hydrophobic association,Sterile/aseptic
Fibrous sheets/textiles,2D film/coating,Carbonaceous,Macro-porous,Stiff,Hydrophobic/oleophilic,Magnetic,Multiphase
Composites,Layered stack,Digital substrate,Macro-porous,Swelling/shrinking,Oleophobic,Coordination/chelation,Submerged aqueous
Aerosols/droplets,Particulate bed,Polymer (thermoset),Polished,Compliant/elastic,H-bonding,Physisorption,In vivo
Digital analogs,Atomic/nano,Composite/hybrid,Layered/laminate,Soft/gel-like,Catalytic,Bioadhesion,Submerged aqueous
Digital analogs,Fiber/yarn,Digital substrate,Cellular/foam,Stiff,π-π interactive,Mechanical interlock,In vitro
Biofilms/ECM/scaffolds,Mega,Polymer (thermoplastic),Meso-porous,Viscoelastic,Hydrophilic,Bioadhesion,Outdoor weathering
Digital analogs,Particulate bed,Polymer (elastomer),Atomically smooth,Plastic/ductile,Amphiphilic,Capillary/meniscus,Multiphase
Powders/granular beds,Atomic/nano,Digital substrate,Cellular/foam,Membrane-tensive,Bioactive,Magnetic,Multiphase
Gels & soft solids,Meso,Carbonaceous,Polished,Compliant/elastic,Redox-active,Coordination/chelation,Non-aqueous solvent
Biofilms/ECM/scaffolds,Patterned/etched,Polymer (thermoset),Atomically smooth,Thixotropic,Charged (cationic),Capillary/meniscus,Cleanroom
Liquid interfaces,Atomic/nano,Metal,Matte/rough,Plastic/ductile,π-π interactive,Hydrophobic association,Non-aqueous solvent
Hard inorganics,Macro,Digital substrate,Patterned,Rigid,Hydrophobic/oleophilic,Mechanical interlock,Non-aqueous solvent
Liquid interfaces,2D film/coating,Polymer (thermoplastic),Layered/laminate,Membrane-tensive,π-π interactive,Capillary/meniscus,Food-grade
Powders/granular beds,Micro,Biological,Hierarchical pores,Brittle,Oleophobic,Bioadhesion,Radiation/UV
Infrastructure,Meso,Mineral/rock/soil,Patterned,Swelling/shrinking,Oleophobic,Magnetic,Cleanroom
Composites,3D bulk,Polymer (elastomer),Polished,Viscoelastic,Amphiphilic,Bioadhesion,In vivo
Metals & alloys,Fiber/yarn,Metal,Channelled,Granular-flowing,H-bonding,Magnetic,Cryogenic
Biological tissues,Lattice/foam,Polymer (thermoset),Atomically smooth,Brittle,Hydrophobic/oleophilic,Chemisorption/covalent,Non-aqueous solvent
Hard inorganics,Layered stack,Liquid interface,Layered/laminate,Plastic/ductile,Low surface energy,Bioadhesion,Food-grade
Metals & alloys,Meso,Polymer (elastomer),Matte/rough,Stiff,Hydrophilic,Capillary/meniscus,Sterile/aseptic
Membranes/filters,Lattice/foam,Digital substrate,Patterned,Thixotropic,Charged (cationic),Bioadhesion,Sterile/aseptic
Powders/granular beds,Micro,Digital substrate,Granular,Shape-memory,Amphiphilic,Crystallization/scale,Outdoor weathering
Aerosols/droplets,Fiber/yarn,Mineral/rock/soil,Micro-porous,Brittle,Charged (anionic),Bioadhesion,High-T
Fibrous sheets/textiles,Mega,Composite/hybrid,Polished,Swelling/shrinking,Oleophobic,Mechanical interlock,Non-aqueous solvent
Infrastructure,Particulate bed,Mineral/rock/soil,Polished,Membrane-tensive,Hydrophobic/oleophilic,Hydrophobic association,Food-grade
Liquid interfaces,Patterned/etched,Metal,Granular,Shape-memory,Passivated,Bioadhesion,Vacuum/low-p
Biological tissues,3D bulk,Composite/hybrid,Layered/laminate,Granular-flowing,High surface energy,Chemisorption/covalent,Cryogenic
Metals & alloys,Layered stack,Polymer (thermoset),Patterned,Soft/gel-like,Hydrophilic,Chemisorption/covalent,Food-grade
Polymers,3D bulk,Gel/colloid,Meso-porous,Swelling/shrinking,H-bonding,Coordination/chelation,Cleanroom
Fibrous sheets/textiles,Layered stack,Digital substrate,Cellular/foam,Compliant/elastic,Passivated,Hydrogen bonding,Cryogenic
Powders/granular beds,Particulate bed,Polymer (thermoset),Fibrous/felted,Swelling/shrinking,Amphiphilic,Coordination/chelation,Dry air
Infrastructure,Macro,Biological,Granular,Viscoelastic,Charged (anionic),Bioadhesion,Submerged aqueous
Metals & alloys,3D bulk,Digital substrate,Cellular/foam,Brittle,Redox-active,Electrostatic,High-T
Aerosols/droplets,Layered stack,Gel/colloid,Layered/laminate,Shape-memory,Oleophobic,Hydrophobic association,Outdoor weathering
Digital analogs,Layered stack,Metal,Matte/rough,Shape-memory,Low surface energy,Chemisorption/covalent,Dry air
Membranes/filters,Particulate bed,Polymer (thermoplastic),Hierarchical pores,Granular-flowing,Low surface energy,Bioadhesion,Submerged aqueous
Hard inorganics,Patterned/etched,Ceramic/glass,Layered/laminate,Swelling/shrinking,π-π interactive,Physisorption,Cleanroom
Digital analogs,Atomic/nano,Polymer (thermoplastic),Atomically smooth,Rigid,Oleophobic,Chemisorption/covalent,Vacuum/low-p
Composites,Patterned/etched,Mineral/rock/soil,Atomically smooth,Compliant/elastic,Charged (anionic),Electrostatic,Cryogenic
Devices & components,Micro,Gel/colloid,Fibrous/felted,Stiff,Hydrophobic/oleophilic,Bioadhesion,Food-grade
Membranes/filters,Micro,Polymer (elastomer),Layered/laminate,Soft/gel-like,Passivated,Coordination/chelation,Non-aqueous solvent
Membranes/filters,Lattice/foam,Ceramic/glass,Hierarchical pores,Compliant/elastic,π-π interactive,Capillary/meniscus,Non-aqueous solvent
Metals & alloys,Lattice/foam,Carbonaceous,Macro-porous,Shape-memory,π-π interactive,Bioadhesion,In vitro
Biofilms/ECM/scaffolds,3D bulk,Carbonaceous,Meso-porous,Plastic/ductile,Low surface energy,Crystallization/scale,Radiation/UV
Gels & soft solids,Lattice/foam,Composite/hybrid,Fissured/cracked,Membrane-tensive,Amphiphilic,Capillary/meniscus,In vitro
Powders/granular beds,Particulate bed,Ceramic/glass,Macro-porous,Shape-memory,Zwitterionic,Magnetic,Cleanroom
Devices & components,Layered stack,Polymer (thermoset),Matte/rough,Rigid,Amphiphilic,Sintering/fusion,In vivo
Biological tissues,Meso,Polymer (thermoplastic),Fibrous/felted,Granular-flowing,Passivated,Hydrogen bonding,Cleanroom
Fibrous sheets/textiles,Particulate bed,Polymer (thermoset),Cellular/foam,Brittle,Bioactive,Hydrophobic association,Cleanroom
Powders/granular beds,Micro,Mineral/rock/soil,Fissured/cracked,Plastic/ductile,Catalytic,Hydrogen bonding,Vacuum/low-p
Devices & components,3D bulk,Liquid interface,Fissured/cracked,Soft/gel-like,Passivated,Electrostatic,In vitro
Aerosols/droplets,Particulate bed,Gel/colloid,Macro-porous,Viscoelastic,Charged (anionic),Electrostatic,Vacuum/low-p
Gels & soft solids,Macro,Polymer (thermoset),Matte/rough,Plastic/ductile,Bioactive,Coordination/chelation,Outdoor weathering
Gels & soft solids,Patterned/etched,Gel/colloid,Granular,Thixotropic,Catalytic,Magnetic,High-T
Hard inorganics,2D film/coating,Polymer (thermoset),Polished,Stiff,Bioactive,Sintering/fusion,Humid air
Biofilms/ECM/scaffolds,Macro,Polymer (thermoset),Channelled,Granular-flowing,Redox-active,Sintering/fusion,Sterile/aseptic
Polymers,Patterned/etched,Liquid interface,Micro-porous,Stiff,π-π interactive,Coordination/chelation,High-T
Fibrous sheets/textiles,Patterned/etched,Digital substrate,Micro-porous,Thixotropic,High surface energy,Electrostatic,Food-grade
Liquid interfaces,Meso,Liquid interface,Fissured/cracked,Swelling/shrinking,Amphiphilic,Sintering/fusion,Food-grade
Aerosols/droplets,Meso,Ceramic/glass,Macro-porous,Granular-flowing,Amphiphilic,Mechanical interlock,Submerged aqueous
Fibrous sheets/textiles,Patterned/etched,Gel/colloid,Polished,Membrane-tensive,Bioactive,Coordination/chelation,Radiation/UV
Biofilms/ECM/scaffolds,Macro,Ceramic/glass,Patterned,Membrane-tensive,Low surface energy,Magnetic,Humid air
Membranes/filters,Micro,Gel/colloid,Atomically smooth,Brittle,H-bonding,Hydrophobic association,Humid air
Biological tissues,Layered stack,Carbonaceous,Fibrous/felted,Compliant/elastic,Zwitterionic,Electrostatic,High-T
Biofilms/ECM/scaffolds,Meso,Polymer (elastomer),Micro-porous,Compliant/elastic,Low surface energy,Physisorption,Food-grade
Digital analogs,Lattice/foam,Polymer (thermoset),Granular,Membrane-tensive,Passivated,Hydrophobic association,Outdoor weathering
